name|surname|role_type|linkedin_url|twitter_handle|biography|location|birth_year|education|previous_experience|specialization|reputation_score
Andrea|Pesaresi|Co-Founder and CTO|https://www.linkedin.com/in/andrea-pesaresi-307aa4240/|||||||Co-Founder and CTO|
Filippo|Cavallari|Co-Founder|https://www.linkedin.com/in/filocava99/|||||||Co-Founder|
Samuele|Berni|Co-Founder|https://www.linkedin.com/in/samuele-berni-927996170/|||||||Co-Founder|
Luca|Rinaldi|Co Founder and CEO|https://www.linkedin.com/in/luca-rinaldi-294a60185/|||||||Co Founder and CEO|
Tommaso|Farneti|Co-Founder|https://www.linkedin.com/in/tommaso-farneti-016795238/|||||||Co-Founder|
Anass|Tai|Co-Founder|https://www.linkedin.com/in/anass-tai-00a326208/|||||||Co-Founder|
Arianna|Dani|Co-Founder & COO|https://www.linkedin.com/in/arianna-dani-14708797/|||||||Co-Founder & COO|
Davide|Lombardi|Co-Founder & COO|https://www.linkedin.com/in/davide-lombardi-/|||||||Co-Founder & COO|
Edoardo|Conte|Co-Founder & CTO|https://www.linkedin.com/in/edoardoconte/|||||||Co-Founder & CTO|
Lorenzo|D'Angelo|Co-Founder & CFO|https://www.linkedin.com/in/lorenzodangelo-/|||||||Co-Founder & CFO|
Luca|Lotterio|Co-Founder & CEO|https://www.linkedin.com/in/luca-lotterio/|||||||Co-Founder & CEO|
Jacopo|Zenzeri|Co-Founder & CEO|https://www.linkedin.com/in/jacopo-zenzeri/|||||||Co-Founder & CEO|
Amel|Cherif|Co-Founder & CTO|https://www.linkedin.com/in/amel-cherif/|||||||Co-Founder & CTO|
Maddalena|Mugnosso|Co-Founder & COO|https://www.linkedin.com/in/maddalena-mugnosso/|||||||Co-Founder & COO|
Vincenzo|Sorice|Co-Founder|https://www.linkedin.com/in/vincenzosorice/|||||||Co-Founder|
Mauro|Fontanarosa|Co-Founder|https://www.linkedin.com/in/maurofontanarosa/|||||||Co-Founder|
Lucia|Pia De Mizio|Co-Founder|https://www.linkedin.com/in/lucia-pia-de-mizio-9780061b0/|||||||Co-Founder|
Boris|Zamparano|Co-Founder|https://www.linkedin.com/in/boris-zamparano-8035281a1/|||||||Co-Founder|
Chiara|Schettino|Co-Founder & CEO|https://www.linkedin.com/in/chiaraschettino/|||||||Co-Founder & CEO|
Filippo|Toni|Co-Founder & COO|https://www.linkedin.com/in/filippotoni/|||||||Co-Founder & COO|
Leonardo|Parmeggiani|Co-Founder|https://www.linkedin.com/in/leonardo-parmeggiani/|||||||Co-Founder|
Stefano|De La Torre|CEO|https://www.linkedin.com/in/delatorrest/|||||||CEO|
Federico|Giannotti|CTO|https://www.linkedin.com/in/federico-giannotti-6a56071b5/|||||||CTO|
Gabriele|Mascaro|Co-Founder|https://www.linkedin.com/in/gabriele-mascaro-58136b86/|||||||Co-Founder|
Dario|Brignone|Co-Founder & CTO|https://www.linkedin.com/in/dario-brignone-9302479/|||||||Co-Founder & CTO|
Alberto|Dalmasso|Co-Founder & CEO|https://www.linkedin.com/in/alberto-dalmasso/|||||||Co-Founder & CEO|
Samuele|Pinta|Co-Founder & CFO|https://www.linkedin.com/in/samuele-pinta/|||||||Co-Founder & CFO|
Giacomo|Maggiore|Co-Founder|https://www.linkedin.com/in/giacomo-maggiore-499994263/|||||||Co-Founder|
Luca|Cordioli|Co-Founder & CTO|https://www.linkedin.com/in/lucacordiolii/|||||||Co-Founder & CTO|
Nicolás|Avelar|Co-Founder & CEO|https://www.linkedin.com/in/navelar-t/|||||||Co-Founder & CEO|
Filippo| Maretti|Software Engineer|https://www.linkedin.com/in/filippo-maretti-967a092b3/|||||||Software Engineer|
Marco|Vinciguerra|Co-Founder|https://www.linkedin.com/in/marco-vinciguerra-7ba365242/|||||||Co-Founder|
Lorenzo|Padoan|Co-Founder|https://www.linkedin.com/in/lorenzo-padoan-4521a2154/|||||||Co-Founder|
Silvia|Wang|Co-Founder & CEO|https://www.linkedin.com/in/silvia-wang-180a3347/|||||||Co-Founder & CEO|
Daniele|Francescon|Co-Founder|https://www.linkedin.com/in/danifrancescon/|||||||Co-Founder|
Lorenzo|Liguori|Co-Founder|https://www.linkedin.com/in/lorenzoliguori/|||||||Co-Founder|
Mattia|Montepara|Co-Founder & CEO|https://www.linkedin.com/in/mattia-montepara/|||||||Co-Founder & CEO|
Dario|Prencipe|Co-Founder|https://www.linkedin.com/in/dario-prencipe/|||||||Co-Founder|
Mattia|Barbarossa|Founder & CEO|https://www.linkedin.com/in/mattia-barbarossa-594765104/|||||||Founder & CEO|
Nicolò|Fugallo|Founder|https://www.linkedin.com/in/nicol%C3%B2-fugallo-221996229/|||||||Founder|
Andrea|Codini|CEO & Co-Founder|https://www.linkedin.com/in/engandreacodini/|||||||CEO & Co-Founder|
Luca|Savastano|CDO & Co-Founder|https://www.linkedin.com/in/luca-savastano-b09845251/|||||||CDO & Co-Founder|
Piertobia|Laporta|COO & Co-Founder|https://www.linkedin.com/in/piertobia-laporta-5b480a211/|||||||COO & Co-Founder|
Karim|Kassem|CTO & Co-Founder|https://www.linkedin.com/in/karim-kassem-73206022a/|||||||CTO & Co-Founder|
Edoardo|Imparato|Co-Founder|https://www.linkedin.com/in/edoardo-imparato/|||||||Co-Founder|
Francesco|Majno|Co-Founder|https://www.linkedin.com/in/francesco-majno-b3450526/|||||||Co-Founder|
Ann|LoCicero|Founder & CEO|https://www.linkedin.com/in/ann-locicero/|||||||Founder & CEO|
Alessia|Cacaveri|CMO|https://www.linkedin.com/in/alessiacacaveri/|||||||CMO|
Alessandra|Pennuto|COO|https://www.linkedin.com/in/alessandrapennuto/|||||||COO|
Eugenio|Bancaro|Co-Founder & CTO|https://www.linkedin.com/in/eugenio-bancaro-a63a8b49/|||||||Co-Founder & CTO|
Tommaso|Centonze|Co-Founder|https://www.linkedin.com/in/tommaso-centonze/|||||||Co-Founder|
Luca|Rodella|Co-Founder & CEO|https://www.linkedin.com/in/lucarodella/|||||||Co-Founder & CEO|
Enrico|De Cupertinis|Co-Founder & CCO|https://www.linkedin.com/in/enrico-de-cupertinis-b7a4b71ba/|||||||Co-Founder & CCO|
Raimondo|Lapillo|Co-Founder & CEO|https://www.linkedin.com/in/raimondo-lapillo/|||||||Co-Founder & CEO|
Alessio|Zandegù|Business Developer|https://www.linkedin.com/in/alessio-zandeg%C3%B9-5a8125253/|||||||Business Developer|
Nazareno|Mario Ciccarello|COO|https://www.linkedin.com/in/nazarenomariociccarello/|||||||COO|
Maicol|Verzotto|CEO|https://www.linkedin.com/in/maicol-verzotto-75a12540/|||||||CEO|
Cosimo|Franco|CTO|https://www.linkedin.com/in/cosimo-franco/|||||||CTO|
Giorgio|Pagliara|CEO|https://www.linkedin.com/in/giorgiopagliara/|||||||CEO|
Giordano|Brachini|Founder|https://www.linkedin.com/in/giordanobrachini/|||||||Founder|
Valentina|Palazzo|CEO & Co-Founder|https://www.linkedin.com/in/imvalentinapalazzo/|||||||CEO & Co-Founder|
Hoang|Huynh|Co-Founder|https://www.linkedin.com/in/hchuynh/|||||||Co-Founder|
Davide|Bodini|Co-Founder|https://www.linkedin.com/in/davide-bodini/|||||||Co-Founder|
Matteo|Gambera|Co-Founder|https://www.linkedin.com/in/matteo-gambera/|||||||Co-Founder|
Vito|Lomele|Co-Founder|https://www.linkedin.com/in/vitolomele/|||||||Co-Founder|
Matteo|Trovò|Co-Founder & CEO|https://www.linkedin.com/in/matteo-trovo/|||||||Co-Founder & CEO|
Anton|Morale|Co-Founder & CTO|https://www.linkedin.com/in/anton-morale/|||||||Co-Founder & CTO|
Nicolò|Caruzzo|Co-Founder & COO|https://www.linkedin.com/in/nicolocaruzzo/|||||||Co-Founder & COO|
Edoardo|Vallebella|Co-Founder & CEO|https://www.linkedin.com/in/edoardovallebella/|||||||Co-Founder & CEO|
Amir|Salama|Co-Founder & CTO|https://www.linkedin.com/in/amir-salama/|||||||Co-Founder & CTO|
Fabrizio|Aiello|Co-Founder & COO|https://www.linkedin.com/in/fabrizio-aiello/|||||||Co-Founder & COO|
Roberto|Solari|Software Developer|https://www.linkedin.com/in/roberto-solari-dev/|||||||Software Developer|
Silvia|De Carlo|Head of Design|https://www.linkedin.com/in/silvia-de-carlo/|||||||Head of Design|
Giuseppe|Cela|Founder|https://www.linkedin.com/in/giuseppecela/|||||||Founder|
Samuele|Caputo|Web Developer|https://www.linkedin.com/in/samuele-caputo-69139a197/|||||||Web Developer|
Gabriele|Salvi|CEO|https://www.linkedin.com/in/gabrielesalvi/|||||||CEO|
Alessio| Gandelli|CTO|https://www.linkedin.com/in/alessiogandelli/|||||||CTO|
Filippo|Rocca|"Co-Founder | CEO"|https://www.linkedin.com/in/filippo-rocca-9ba01b52/|||||||"Co-Founder | CEO"|
Ferruccio|Ferruzzi|"Co-Founder | CBO"|https://www.linkedin.com/in/ferruccio-ferruzzi-1713b015a/|||||||"Co-Founder | CBO"|
Francesco| Durighetto|"Co-Founder | Chief R&D Officer"|https://www.linkedin.com/in/francescodurighetto/|||||||"Co-Founder | Chief R&D Officer"|
Federica|Rossi|"Co-Founder | CPO"|https://www.linkedin.com/in/federica-rossi-135944b6/|||||||"Co-Founder | CPO"|
Fabrizio|Chiara|Founder & CEO|https://www.linkedin.com/in/fabriziochiara/|||||||Founder & CEO|
Francesco|Laffi|Co-Founder & CTO|https://www.linkedin.com/in/francescolaffi/|||||||Co-Founder & CTO|
Marco|Tricarico|Co-Founder & CEO|https://www.linkedin.com/in/marcotricarico/|||||||Co-Founder & CEO|
Redi|Vyshka|Co-Founder|https://www.linkedin.com/in/redivyshka/|||||||Co-Founder|
Rosilari|Bellacosa|Co-Founder & CTO|https://www.linkedin.com/in/rosilari-bellacosa-phd/|||||||Co-Founder & CTO|
Federica|Gerace|Co-Founder|https://www.linkedin.com/in/federica-gerace/|||||||Co-Founder|
Daniele|Conti|Co-Founder & CEO|https://www.linkedin.com/in/daniele-conti-phd/|||||||Co-Founder & CEO|
Antonio|Picozzi|CEO & Co-Founder|https://www.linkedin.com/in/antonio-picozzi-514429146/|||||||CEO & Co-Founder|
Niccolò|Francesco Marino|C*O & Co-Founder|https://www.linkedin.com/in/niccolo-francesco-marino/|||||||C*O & Co-Founder|
Vincenzo|Bonaccorso|CTO & Co-Founder|https://www.linkedin.com/in/vincenzo-bonaccorso/|||||||CTO & Co-Founder|
Fabrizio|Lallo|Founder|https://www.linkedin.com/in/fabrizio-lallo/|||||||Founder|
Edvaldo|G.|Co-Founder & CTO|https://www.linkedin.com/in/edvaldo-g-20a271121/|||||||Co-Founder & CTO|
Riccardo|Russo|Co-Founder & CEO|https://www.linkedin.com/in/rusricc/|||||||Co-Founder & CEO|
Ludovico|Grassi|Co-Founder & CMO|https://www.linkedin.com/in/ludovicograssi/|||||||Co-Founder & CMO|
Vincenzo|Mansi|Co-Founder & CEO|https://www.linkedin.com/in/vincenzo-mansi-21770012a/|||||||Co-Founder & CEO|
Alice|Carbonara|Co-Founder & COO|https://www.linkedin.com/in/alice-carbonara-440955210/|||||||Co-Founder & COO|
Lisa|Iannello|Co-Founder & CPO|https://www.linkedin.com/in/lisaiannello/|||||||Co-Founder & CPO|
Doris|Messina|Co-Founder & CEO|https://www.linkedin.com/in/dorismessina/|||||||Co-Founder & CEO|
Bruno|Reggiani|Co-Founder & COO|https://www.linkedin.com/in/breggiani/|||||||Co-Founder & COO|
Andrea|Susta|Co-Founder|https://www.linkedin.com/in/andrea-susta/|||||||Co-Founder|
Stefan|Grbović|Co-Founder & CEO|https://www.linkedin.com/in/stefan-grbovi%C4%87-97b4021b6/|||||||Co-Founder & CEO|
Alfredo|Sergio Dallari|Co-Founder & CTO|https://www.linkedin.com/in/alfredo-sergio-dallari-700864118/|||||||Co-Founder & CTO|
Giuseppe|Cristiano De Bernardo|Co-Founder & CFO|https://www.linkedin.com/in/giuseppecristianodebernardo/|||||||Co-Founder & CFO|
Andjela|Bozinac|Co-Founder & CSO|https://www.linkedin.com/in/bozinac-andjela24/|||||||Co-Founder & CSO|
Marco|Marchesani|Co-Founder & CMO|https://www.linkedin.com/in/marcomarchesani/|||||||Co-Founder & CMO|
Jules-Arthur|Sastre|Co-Founder & CEO|https://www.linkedin.com/in/jules-arthur-sastre/|||||||Co-Founder & CEO|
Giorgio|Seveso|Co-Founder|https://www.linkedin.com/in/giorgio-seveso-112007156/|||||||Co-Founder|
Davide|Todeschini|Founder|https://www.linkedin.com/in/davide-todeschini/|||||||Founder|
Alessandro|Cappellazzo|Co-Founder|https://www.linkedin.com/in/alessandro-cappellazzo-31b3b9206/|||||||Co-Founder|
Elia|Romano|Co-Founder & COO|https://www.linkedin.com/in/elia-romano-5039351ab/|||||||Co-Founder & COO|
Thomas|Romano|Co-Founder & CEO|https://www.linkedin.com/in/thomas-romano-636268195/|||||||Co-Founder & CEO|
Simone|Fantinato|Co-Founder|https://www.linkedin.com/in/simone-fantinato/|||||||Co-Founder|
Savio|Los|Co-Founder|https://www.linkedin.com/in/savio-los-a7ba8458/|||||||Co-Founder|
Elisabetta|Faggiana|Co-Founder|https://www.linkedin.com/in/elisabetta-faggiana-74761820/|||||||Co-Founder|
Lorenzo|Braghetto|CTO|https://www.linkedin.com/in/lorenzo-braghetto/|||||||CTO|
Edoardo|Parisi|CEO|https://www.linkedin.com/in/edoardoparisi/|||||||CEO|
Umberto|Parisi|Co-Founder|https://www.linkedin.com/in/umberto-parisi/|||||||Co-Founder|
Tommaso|Sorrentino|COO|https://www.linkedin.com/in/tommaso-sorrentino/|||||||COO|
Danila|De Stefano|Founder & CEO|https://www.linkedin.com/in/danila-de-stefano-844533126/|||||||Founder & CEO|
Andrea|Zuanetti|Co-Founder & CEO|https://www.linkedin.com/in/andrea-zuanetti-97704980/|||||||Co-Founder & CEO|
Alessandro|Broglia|Co-Founder|https://www.linkedin.com/in/alessandrobroglia/|||||||Co-Founder|
Lorenzo|Vendemini|Co-Founder & CPO|https://www.linkedin.com/in/lorenzovendemini/|||||||Co-Founder & CPO|
Michele|Grazioli|Founder|https://www.linkedin.com/in/michele-grazioli-74789178/|||||||Founder|
Matteo|Masserdotti|CEO & Founder|https://www.linkedin.com/in/matteomasserdotti/|||||||CEO & Founder|
Veronica|Fusco|Founder|https://www.linkedin.com/in/veronica-fusco-218bb2b4/|||||||Founder|
Vincenzo|Vitiello|Co-Founder & CPO|https://www.linkedin.com/in/vincenzo-vitiello/|||||||Co-Founder & CPO|
Paolo|Ganis|Co-Founder & CEO|https://www.linkedin.com/in/paologanis/|||||||Co-Founder & CEO|
Alessio|D'Andrea|Co-Founder & COO|https://www.linkedin.com/in/aledand/|||||||Co-Founder & COO|
Alessandro|Galli|Co-Founder|https://www.linkedin.com/in/alessandrogallidalmau/|||||||Co-Founder|
Alessio|Primo Gavinelli|Co-Founder|https://www.linkedin.com/in/alessioprimogavinelli/|||||||Co-Founder|
Simone|Pessina|Co-Founder|https://www.linkedin.com/in/simone-pessina/|||||||Co-Founder|
Daniel|Kaidanovic|Co-Founder & CTO|https://www.linkedin.com/in/daniel-kaidanovic-b62060216/|||||||Co-Founder & CTO|
Carlo|Villani|Co-Founder & CEO|https://www.linkedin.com/in/carlo-villani-943196215/|||||||Co-Founder & CEO|
Mattia|Bertolani|Co-Founder & CFO|https://www.linkedin.com/in/mattiabertolani281297/|||||||Co-Founder & CFO|
Michelangelo|Guarise|Founder & CEO|https://www.linkedin.com/in/michelangelo-guarise/|||||||Founder & CEO|
Giacomo|Stefanini|Founder|https://www.linkedin.com/in/giacomostefanini/|||||||Founder|
Carlo|Bettini|Co-Founder & CEO|https://www.linkedin.com/in/carlobettini/|||||||Co-Founder & CEO|
Alessandro|Villa|Co-Founder & COO|https://www.linkedin.com/in/alessandro1villa/|||||||Co-Founder & COO|
Michele|Quagliata|Co-Founder & CLO|https://www.linkedin.com/in/michele-quagliata-ba6126137/|||||||Co-Founder & CLO|
Niccolò|Ferrari|Co-Founder|https://www.linkedin.com/in/niccol%C3%B2-ferrari/|||||||Co-Founder|
Mario|Ferretti|Co-Founder & CSO|https://www.linkedin.com/in/marioferretti/|||||||Co-Founder & CSO|
Samuele|Donato d'Addesio|Co-Founder|https://www.linkedin.com/in/samuele-donato-d-addesio-365382208/|||||||Co-Founder|
Davide|Guerrieri|Co-Founder & CEO|https://www.linkedin.com/in/davide-guerrieri-384baa222/|||||||Co-Founder & CEO|
Fabio|Bin|Co-Founder|https://www.linkedin.com/in/fabiobin/|||||||Co-Founder|
Paolo|De Nadai|Co-Founder|https://www.linkedin.com/in/paolodenadai/|||||||Co-Founder|
Erika|De Santi|Co-Founder|https://www.linkedin.com/in/erikadesanti/|||||||Co-Founder|
Alessandro|Busso|Co-Founder|https://www.linkedin.com/in/alessandro-busso/|||||||Co-Founder|
Tommaso|Seita|Co-Founder & CEO|https://www.linkedin.com/in/tommaso-seita/|||||||Co-Founder & CEO|
Chiara|Petrioli|Founder & CEO|https://www.linkedin.com/in/chiara-petrioli-77002422/|||||||Founder & CEO|
Cesare|Gamberi|Co-Founder|https://www.linkedin.com/in/cesare-gamberi/|||||||Co-Founder|
Andrea|Ferrero|Co-Founder & Co-CEO|https://www.linkedin.com/in/youngplatform-andreferre/|||||||Co-Founder & Co-CEO|
Alexandru|Stefan G.|Co-Founder & Co-CEO|https://www.linkedin.com/in/ste-youngplatform/|||||||Co-Founder & Co-CEO|
Samuele|Raimondo|Co-Founder & CTO|https://www.linkedin.com/in/samueleraimondo98/|||||||Co-Founder & CTO|
Leonardo|Vezzati|Co-Founder|https://www.linkedin.com/in/leonardo-vezzati/|||||||Co-Founder|
Nicola|Sebastianelli|Co-Founder & CTO|https://www.linkedin.com/in/nicolasebastianelli/|||||||Co-Founder & CTO|
Daniele|Borlizzi|Co-Founder|https://www.linkedin.com/in/danbor/|||||||Co-Founder|
Alexandros|Fokianos|Co-Founder|https://www.linkedin.com/in/fokianos-alexandros96/|||||||Co-Founder|
Aurora|Maggio|Co-founder & CEO|https://www.linkedin.com/in/aurora-maggio/|||||||Co-founder & CEO|
Irene|Simone|Co-Founder & CEO|https://www.linkedin.com/in/irene-simone-6b398921/|||||||Co-Founder & CEO|
Giulio|Simone|Co-Founder|https://www.linkedin.com/in/giulio-simone-377538169/|||||||Co-Founder|
Samuele|Fattori|Co-Founder|https://www.linkedin.com/in/samuelefattori/|||||||Co-Founder|
Giacomo|Fattori|Co-Founder|https://www.linkedin.com/in/giacomo-fattori/|||||||Co-Founder|
Giovanni|Turri|Co-Founder|https://www.linkedin.com/in/giovanni-turri1996/|||||||Co-Founder|
Gabriele|Rorandelli|Co-Founder & CEO|https://www.linkedin.com/in/gabriele-rorandelli-05510a1a4/|||||||Co-Founder & CEO|
Alessio|Troisi|Co-Founder & COO|https://www.linkedin.com/in/alessio-troisi-825516167/|||||||Co-Founder & COO|
Abbie|Clement|Co-Founder|https://www.linkedin.com/in/abbiemclement/|||||||Co-Founder|
Maxim|Ozolin|Co-Founder|https://www.linkedin.com/in/maximozolin/|||||||Co-Founder|
Andrea|Bolognesi|Co-Founder|https://www.linkedin.com/in/andrea-bolognesi-37018176/|||||||Co-Founder|
