investor_name|investor_type|startup_name|round_stage|round_date|amount|valuation_pre|valuation_post|is_lead_investor|board_seats|equity_percentage
P101|VC_Firm|4books|Seed||2.906.150USD|||||
40Jemz Ventures|VC_Firm|Algor|Seed||1.529.266USD|||||
Emerge VC|VC_Firm|Algor|Seed||1.529.266USD|||||
Vento Ventures|VC_Firm|Always Friday|Pre-Seed||Unknown|||||
PranaVentures|VC_Firm|Aryel|Seed||3.700.000EUR|||||
360 Capital|VC_Firm|Banca AideXa|Series A||48.000.000EUR|||||
Banca Sella|VC_Firm|Banca AideXa|Series A||48.000.000EUR|||||
EIT Food|VC_Firm|Behavix|Seed||40.000EUR|||||
2100 Ventures|VC_Firm|BonusX|Seed||3.199.965USD|||||
Exceptional Ventures|VC_Firm|BonusX|Seed||3.199.965USD|||||
Giant Ventures|VC_Firm|BonusX|Seed||3.199.965USD|||||
Exor Ventures|VC_Firm|BonusX|Seed||3.199.965USD|||||
Azimut Holding|VC_Firm|Buddyfit|Series A||7.162.083USD|||||
RCS MediaGroup|VC_Firm|Buddyfit|Series A||7.162.083USD|||||
PranaVentures|VC_Firm|Cosmico|Series A||5.850.000EUR|||||
Primo Capital|VC_Firm|Ecosmic|Pre-Seed||1.177.259USD|||||
Techstars|VC_Firm|Empethy|Pre-Seed||120.000USD|||||
Exor Ventures|VC_Firm|Eoliann|Seed||1.500.000EUR|||||
Primo Ventures|VC_Firm|Eoliann|Seed||1.500.000EUR|||||
Oltre Impact|VC_Firm|FABA|Series A||8.200.000EUR|||||
Ad4Ventures|VC_Firm|FABA|Series A||8.200.000EUR|||||
CDP Venture Capital|VC_Firm|FABA|Series A||8.200.000EUR|||||
Vento Ventures|VC_Firm|Flami|Unknown||Unknown|||||
The Liquid Factory|VC_Firm|Fluida|Pre-Seed||200.000EUR|||||
Vertis SGR|VC_Firm|Focoos AI|Seed||3.035.000EUR|||||
Vento Ventures|VC_Firm|Focoos AI|Seed||3.035.000EUR|||||
VC Partners|VC_Firm|Focoos AI|Seed||3.035.000EUR|||||
CDP Venture Capital|VC_Firm|Focoos AI|Seed||3.035.000EUR|||||
GALAXIA|VC_Firm|Focoos AI|Seed||3.035.000EUR|||||
MoffuLabs|VC_Firm|Freedome|Series A||3.200.000EUR|||||
Opes Italia|VC_Firm|Freedome|Series A||3.200.000EUR|||||
SocialFare Seed|VC_Firm|Freedome|Series A||3.200.000EUR|||||
Bios Line Holding|VC_Firm|Freedome|Series A||3.200.000EUR|||||
Growth Engine|VC_Firm|Freedome|Series A||3.200.000EUR|||||
Eurazeo|VC_Firm|Futura|Series A||15.049.928USD|||||
United Ventures|VC_Firm|Futura|Series A||15.049.928USD|||||
Axon Partners Group|VC_Firm|Futura|Series A||15.049.928USD|||||
LVenture Group|VC_Firm|Futura|Series A||15.049.928USD|||||
MoffuLabs|VC_Firm|Gamindo|Seed||533.983USD|||||
Luiss Alumni 4 Growth|VC_Firm|Gamindo|Seed||533.983USD|||||
Deep Ocean Capital|VC_Firm|Genoa Instruments|Unknown||Unknown|||||
B4I - Bocconi for innovation|Institution|Genoa Instruments|Unknown||Unknown|||||
G-Factor|VC_Firm|Genoa Instruments|Unknown||Unknown|||||
SeedBlink|VC_Firm|Golee|Seed||726.013USD|||||
Personae|VC_Firm|GRLS|Pre-Seed||100.000EUR|||||
360 Capital|VC_Firm|Guidoio|Pre-Seed||700.000EUR|||||
Vesper Holding|VC_Firm|Guidoio|Pre-Seed||700.000EUR|||||
Growth Engine|VC_Firm|Guidoio|Pre-Seed||700.000EUR|||||
Techstars|VC_Firm|Heloola|Pre-Seed||120.000USD|||||
RoboIT|VC_Firm|HoverSpect|Pre-Seed||Unknown|||||
Rigel Ventures|VC_Firm|ilmiobrokerassicurativo|Pre-Seed||470.000EUR|||||
Ventive|VC_Firm|ilmiobrokerassicurativo|Pre-Seed||470.000EUR|||||
Mival Capital|VC_Firm|ilmiobrokerassicurativo|Pre-Seed||470.000EUR|||||
MoffuLabs|VC_Firm|ilmiobrokerassicurativo|Pre-Seed||470.000EUR|||||
AFP CAPITAL|VC_Firm|ilmiobrokerassicurativo|Pre-Seed||470.000EUR|||||
Potakoi|VC_Firm|ilmiobrokerassicurativo|Pre-Seed||470.000EUR|||||
Azimut Holding|VC_Firm|indigo.ai|Series B||12.000.000EUR|||||
CDP Venture Capital|VC_Firm|j4energy|Seed||1.000.000EUR|||||
RoboIT|VC_Firm|j4energy|Seed||1.000.000EUR|||||
Tech4Planet|VC_Firm|j4energy|Seed||1.000.000EUR|||||
Base10 Partners|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Picus Capital|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Italian Founders Fund|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Exor Ventures|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Italian Founders Fund|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Picus Capital|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Base10 Partners|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Exor Ventures|VC_Firm|Jet HR|Series A||41.000.000EUR|||||
Doorway|VC_Firm|Joinrs|Seed||1.700.000EUR|||||
Lazio Innova|VC_Firm|Joinrs|Seed||1.700.000EUR|||||
Vento Ventures|VC_Firm|Lexroom.ai|Pre-Seed||500.000EUR|||||
CDP Venture Capital|VC_Firm|Lokit|Pre-Seed||84.080USD|||||
TechBricks|VC_Firm|Lokit|Pre-Seed||84.080USD|||||
B4I - Bocconi for innovation|Institution|Mapo Tapo|Seed||1.277.707USD|||||
Mondadori PLAI|VC_Firm|Pathway|Pre-Seed||147.000EUR|||||
Startupbootcamp|VC_Firm|Pathway|Pre-Seed||147.000EUR|||||
Cariplo Factory|VC_Firm|Plino|Pre-Seed||200.000EUR|||||
Exor Ventures|VC_Firm|Plino|Pre-Seed||200.000EUR|||||
Startup Wise Guys|VC_Firm|Poleepo|Seed||870.000EUR|||||
Proximity Capital|VC_Firm|Qomodo|Series A||13.500.000EUR|||||
Primo Capital|VC_Firm|Qomodo|Series A||13.500.000EUR|||||
LMDV Capital|VC_Firm|Qomodo|Series A||13.500.000EUR|||||
RTP Global|VC_Firm|Qomodo|Series A||13.500.000EUR|||||
Ventive|VC_Firm|Recivu|Pre-Seed||65.054USD|||||
Nana Bianca|VC_Firm|Recivu|Pre-Seed||65.054USD|||||
Rigel Ventures|VC_Firm|Restworld|Seed||1.700.000EUR|||||
MoffuLabs|VC_Firm|Restworld|Seed||1.700.000EUR|||||
Startup Wise Guys|VC_Firm|Restworld|Seed||1.700.000EUR|||||
RoboIT|VC_Firm|ReWing|Seed||750.000EUR|||||
CDP Venture Capital|VC_Firm|Safety on Chain|Pre-Seed||150.000EUR|||||
Lightrock|VC_Firm|Satispay|Unknown||63.978.913USD|||||
Addition|VC_Firm|Satispay|Unknown||63.978.913USD|||||
Exor Ventures|VC_Firm|Serenis|Seed||6.500.000EUR|||||
FG2 Capital|VC_Firm|Serenis|Seed||6.500.000EUR|||||
Lumen Ventures|VC_Firm|Serenis|Seed||6.500.000EUR|||||
Angelini Ventures|VC_Firm|Serenis|Seed||6.500.000EUR|||||
Azimut Libera Impresa|VC_Firm|Serenis|Seed||6.500.000EUR|||||
Plug and Play|VC_Firm|Sibill|Seed||500.000EUR|||||
The Techshop SGR|VC_Firm|Smartness|Series A||14.181.055USD|||||
Partech|VC_Firm|Smartness|Series A||14.181.055USD|||||
Azimut Holding|VC_Firm|Smartness|Series A||14.181.055USD|||||
Vento Ventures|VC_Firm|Soource|Pre-Seed||1.500.000EUR|||||
B Heroes|VC_Firm|Soource|Pre-Seed||1.500.000EUR|||||
360 Capital|VC_Firm|Soource|Pre-Seed||1.500.000EUR|||||
Vesper Holding|VC_Firm|Soource|Pre-Seed||1.500.000EUR|||||
Finint Investments|VC_Firm|Spoki|Series A||5.500.000EUR|||||
CDP Venture Capital|VC_Firm|Spoki|Series A||5.500.000EUR|||||
BlackSheep Fund|VC_Firm|Spoki|Series A||5.500.000EUR|||||
United Ventures|VC_Firm|Stema|Seed||1.600.000EUR|||||
Eden Ventures|VC_Firm|Stema|Seed||1.600.000EUR|||||
Moonstone Venture Capital|VC_Firm|StepsConnect|Seed||1.086.170USD|||||
KF-Invest|VC_Firm|StepsConnect|Seed||1.086.170USD|||||
Eden Ventures|VC_Firm|StepsConnect|Seed||1.086.170USD|||||
40Jemz Ventures|VC_Firm|StepsConnect|Seed||1.086.170USD|||||
CDP Venture Capital|VC_Firm|Switcho|Series A||4.000.000EUR|||||
B Heroes|VC_Firm|This Unique|Seed||750.000EUR|||||
Ulixes Capital Partners|VC_Firm|This Unique|Seed||750.000EUR|||||
Lifegate|VC_Firm|This Unique|Seed||750.000EUR|||||
Moonstone Venture Capital|VC_Firm|This Unique|Seed||750.000EUR|||||
LVenture Group|VC_Firm|This Unique|Seed||750.000EUR|||||
Banca Sella|VC_Firm|Tot|Seed||4.000.000EUR|||||
The Techshop SGR|VC_Firm|Tot|Seed||4.000.000EUR|||||
Ulixes Capital Partners|VC_Firm|Tot|Seed||4.000.000EUR|||||
CDP Venture Capital|VC_Firm|Up2You|Seed||4.000.000USD|||||
Azimut Holding|VC_Firm|Up2You|Seed||4.000.000USD|||||
Fasanara Capital|VC_Firm|Viceversa|Series A||10.997.035USD|||||
Digital Magics|VC_Firm|Viceversa|Series A||10.997.035USD|||||
Techstars|VC_Firm|Vocations|Pre-Seed||120.000EUR|||||
MobilityUP|VC_Firm|Wayla|Pre-Seed||900.000EUR|||||
Sullivan Ventures|VC_Firm|Wayla|Pre-Seed||900.000EUR|||||
MoffuLabs|VC_Firm|Wayla|Pre-Seed||900.000EUR|||||
United Ventures|VC_Firm|Young Platform|Series A||20.577.480EUR|||||
Azimut Holding|VC_Firm|Young Platform|Series A||20.577.480EUR|||||
14Peaks Capital|VC_Firm|Zefi.ai|Pre-Seed||1.600.000EUR|||||
360 Capital|VC_Firm|Zefi.ai|Pre-Seed||1.600.000EUR|||||
Startup Wise Guys|VC_Firm|Zerow|Seed||400.000EUR|||||
Nana Bianca|VC_Firm|Zerow|Seed||400.000EUR|||||
